continent,country,year,pop,maxPop
Americas,Other,1952,17876956,40301927
Americas,Other,1957,19610538,40301927
Americas,Other,1962,21283783,40301927
Americas,Other,1967,22934225,40301927
Americas,Other,1972,24779799,40301927
Americas,Other,1977,26983828,40301927
Americas,Other,1982,29341374,40301927
Americas,Other,1987,31620918,40301927
Americas,Other,1992,33958947,40301927
Americas,Other,1997,36203463,40301927
Americas,Other,2002,38331121,40301927
Americas,Other,2007,40301927,40301927
Americas,Other,1952,2883315,9119152
Americas,Other,1957,3211738,9119152
Americas,Other,1962,3593918,9119152
Americas,Other,1967,4040665,9119152
Americas,Other,1972,4565872,9119152
Americas,Other,1977,5079716,9119152
Americas,Other,1982,5642224,9119152
Americas,Other,1987,6156369,9119152
Americas,Other,1992,6893451,9119152
Americas,Other,1997,7693188,9119152
Americas,Other,2002,8445134,9119152
Americas,Other,2007,9119152,9119152
Americas,Brazil,1952,56602560,190010647
Americas,Brazil,1957,65551171,190010647
Americas,Brazil,1962,76039390,190010647
Americas,Brazil,1967,88049823,190010647
Americas,Brazil,1972,100840058,190010647
Americas,Brazil,1977,114313951,190010647
Americas,Brazil,1982,128962939,190010647
Americas,Brazil,1987,142938076,190010647
Americas,Brazil,1992,155975974,190010647
Americas,Brazil,1997,168546719,190010647
Americas,Brazil,2002,179914212,190010647
Americas,Brazil,2007,190010647,190010647
Americas,Other,1952,14785584,33390141
Americas,Other,1957,17010154,33390141
Americas,Other,1962,18985849,33390141
Americas,Other,1967,20819767,33390141
Americas,Other,1972,22284500,33390141
Americas,Other,1977,23796400,33390141
Americas,Other,1982,25201900,33390141
Americas,Other,1987,26549700,33390141
Americas,Other,1992,28523502,33390141
Americas,Other,1997,30305843,33390141
Americas,Other,2002,31902268,33390141
Americas,Other,2007,33390141,33390141
Americas,Other,1952,6377619,16284741
Americas,Other,1957,7048426,16284741
Americas,Other,1962,7961258,16284741
Americas,Other,1967,8858908,16284741
Americas,Other,1972,9717524,16284741
Americas,Other,1977,10599793,16284741
Americas,Other,1982,11487112,16284741
Americas,Other,1987,12463354,16284741
Americas,Other,1992,13572994,16284741
Americas,Other,1997,14599929,16284741
Americas,Other,2002,15497046,16284741
Americas,Other,2007,16284741,16284741
Americas,Other,1952,12350771,44227550
Americas,Other,1957,14485993,44227550
Americas,Other,1962,17009885,44227550
Americas,Other,1967,19764027,44227550
Americas,Other,1972,22542890,44227550
Americas,Other,1977,25094412,44227550
Americas,Other,1982,27764644,44227550
Americas,Other,1987,30964245,44227550
Americas,Other,1992,34202721,44227550
Americas,Other,1997,37657830,44227550
Americas,Other,2002,41008227,44227550
Americas,Other,2007,44227550,44227550
Americas,Other,1952,926317,4133884
Americas,Other,1957,1112300,4133884
Americas,Other,1962,1345187,4133884
Americas,Other,1967,1588717,4133884
Americas,Other,1972,1834796,4133884
Americas,Other,1977,2108457,4133884
Americas,Other,1982,2424367,4133884
Americas,Other,1987,2799811,4133884
Americas,Other,1992,3173216,4133884
Americas,Other,1997,3518107,4133884
Americas,Other,2002,3834934,4133884
Americas,Other,2007,4133884,4133884
Americas,Other,1952,6007797,11416987
Americas,Other,1957,6640752,11416987
Americas,Other,1962,7254373,11416987
Americas,Other,1967,8139332,11416987
Americas,Other,1972,8831348,11416987
Americas,Other,1977,9537988,11416987
Americas,Other,1982,9789224,11416987
Americas,Other,1987,10239839,11416987
Americas,Other,1992,10723260,11416987
Americas,Other,1997,10983007,11416987
Americas,Other,2002,11226999,11416987
Americas,Other,2007,11416987,11416987
Americas,Other,1952,2491346,9319622
Americas,Other,1957,2923186,9319622
Americas,Other,1962,3453434,9319622
Americas,Other,1967,4049146,9319622
Americas,Other,1972,4671329,9319622
Americas,Other,1977,5302800,9319622
Americas,Other,1982,5968349,9319622
Americas,Other,1987,6655297,9319622
Americas,Other,1992,7351181,9319622
Americas,Other,1997,7992357,9319622
Americas,Other,2002,8650322,9319622
Americas,Other,2007,9319622,9319622
Americas,Other,1952,3548753,13755680
Americas,Other,1957,4058385,13755680
Americas,Other,1962,4681707,13755680
Americas,Other,1967,5432424,13755680
Americas,Other,1972,6298651,13755680
Americas,Other,1977,7278866,13755680
Americas,Other,1982,8365850,13755680
Americas,Other,1987,9545158,13755680
Americas,Other,1992,10748394,13755680
Americas,Other,1997,11911819,13755680
Americas,Other,2002,12921234,13755680
Americas,Other,2007,13755680,13755680
Americas,Other,1952,2042865,6939688
Americas,Other,1957,2355805,6939688
Americas,Other,1962,2747687,6939688
Americas,Other,1967,3232927,6939688
Americas,Other,1972,3790903,6939688
Americas,Other,1977,4282586,6939688
Americas,Other,1982,4474873,6939688
Americas,Other,1987,4842194,6939688
Americas,Other,1992,5274649,6939688
Americas,Other,1997,5783439,6939688
Americas,Other,2002,6353681,6939688
Americas,Other,2007,6939688,6939688
Americas,Other,1952,3146381,12572928
Americas,Other,1957,3640876,12572928
Americas,Other,1962,4208858,12572928
Americas,Other,1967,4690773,12572928
Americas,Other,1972,5149581,12572928
Americas,Other,1977,5703430,12572928
Americas,Other,1982,6395630,12572928
Americas,Other,1987,7326406,12572928
Americas,Other,1992,8486949,12572928
Americas,Other,1997,9803875,12572928
Americas,Other,2002,11178650,12572928
Americas,Other,2007,12572928,12572928
Americas,Other,1952,3201488,8502814
Americas,Other,1957,3507701,8502814
Americas,Other,1962,3880130,8502814
Americas,Other,1967,4318137,8502814
Americas,Other,1972,4698301,8502814
Americas,Other,1977,4908554,8502814
Americas,Other,1982,5198399,8502814
Americas,Other,1987,5756203,8502814
Americas,Other,1992,6326682,8502814
Americas,Other,1997,6913545,8502814
Americas,Other,2002,7607651,8502814
Americas,Other,2007,8502814,8502814
Americas,Other,1952,1517453,7483763
Americas,Other,1957,1770390,7483763
Americas,Other,1962,2090162,7483763
Americas,Other,1967,2500689,7483763
Americas,Other,1972,2965146,7483763
Americas,Other,1977,3055235,7483763
Americas,Other,1982,3669448,7483763
Americas,Other,1987,4372203,7483763
Americas,Other,1992,5077347,7483763
Americas,Other,1997,5867957,7483763
Americas,Other,2002,6677328,7483763
Americas,Other,2007,7483763,7483763
Americas,Other,1952,1426095,2780132
Americas,Other,1957,1535090,2780132
Americas,Other,1962,1665128,2780132
Americas,Other,1967,1861096,2780132
Americas,Other,1972,1997616,2780132
Americas,Other,1977,2156814,2780132
Americas,Other,1982,2298309,2780132
Americas,Other,1987,2326606,2780132
Americas,Other,1992,2378618,2780132
Americas,Other,1997,2531311,2780132
Americas,Other,2002,2664659,2780132
Americas,Other,2007,2780132,2780132
Americas,Mexico,1952,30144317,108700891
Americas,Mexico,1957,35015548,108700891
Americas,Mexico,1962,41121485,108700891
Americas,Mexico,1967,47995559,108700891
Americas,Mexico,1972,55984294,108700891
Americas,Mexico,1977,63759976,108700891
Americas,Mexico,1982,71640904,108700891
Americas,Mexico,1987,80122492,108700891
Americas,Mexico,1992,88111030,108700891
Americas,Mexico,1997,95895146,108700891
Americas,Mexico,2002,102479927,108700891
Americas,Mexico,2007,108700891,108700891
Americas,Other,1952,1165790,5675356
Americas,Other,1957,1358828,5675356
Americas,Other,1962,1590597,5675356
Americas,Other,1967,1865490,5675356
Americas,Other,1972,2182908,5675356
Americas,Other,1977,2554598,5675356
Americas,Other,1982,2979423,5675356
Americas,Other,1987,3344353,5675356
Americas,Other,1992,4017939,5675356
Americas,Other,1997,4609572,5675356
Americas,Other,2002,5146848,5675356
Americas,Other,2007,5675356,5675356
Americas,Other,1952,940080,3242173
Americas,Other,1957,1063506,3242173
Americas,Other,1962,1215725,3242173
Americas,Other,1967,1405486,3242173
Americas,Other,1972,1616384,3242173
Americas,Other,1977,1839782,3242173
Americas,Other,1982,2036305,3242173
Americas,Other,1987,2253639,3242173
Americas,Other,1992,2484997,3242173
Americas,Other,1997,2734531,3242173
Americas,Other,2002,2990875,3242173
Americas,Other,2007,3242173,3242173
Americas,Other,1952,1555876,6667147
Americas,Other,1957,1770902,6667147
Americas,Other,1962,2009813,6667147
Americas,Other,1967,2287985,6667147
Americas,Other,1972,2614104,6667147
Americas,Other,1977,2984494,6667147
Americas,Other,1982,3366439,6667147
Americas,Other,1987,3886512,6667147
Americas,Other,1992,4483945,6667147
Americas,Other,1997,5154123,6667147
Americas,Other,2002,5884491,6667147
Americas,Other,2007,6667147,6667147
Americas,Other,1952,8025700,28674757
Americas,Other,1957,9146100,28674757
Americas,Other,1962,10516500,28674757
Americas,Other,1967,12132200,28674757
Americas,Other,1972,13954700,28674757
Americas,Other,1977,15990099,28674757
Americas,Other,1982,18125129,28674757
Americas,Other,1987,20195924,28674757
Americas,Other,1992,22430449,28674757
Americas,Other,1997,24748122,28674757
Americas,Other,2002,26769436,28674757
Americas,Other,2007,28674757,28674757
Americas,Other,1952,2227000,3942491
Americas,Other,1957,2260000,3942491
Americas,Other,1962,2448046,3942491
Americas,Other,1967,2648961,3942491
Americas,Other,1972,2847132,3942491
Americas,Other,1977,3080828,3942491
Americas,Other,1982,3279001,3942491
Americas,Other,1987,3444468,3942491
Americas,Other,1992,3585176,3942491
Americas,Other,1997,3759430,3942491
Americas,Other,2002,3859606,3942491
Americas,Other,2007,3942491,3942491
Americas,Other,1952,662850,1191336
Americas,Other,1957,764900,1191336
Americas,Other,1962,887498,1191336
Americas,Other,1967,960155,1191336
Americas,Other,1972,975199,1191336
Americas,Other,1977,1039009,1191336
Americas,Other,1982,1116479,1191336
Americas,Other,1987,1191336,1191336
Americas,Other,1992,1183669,1191336
Americas,Other,1997,1138101,1191336
Americas,Other,2002,1101832,1191336
Americas,Other,2007,1056608,1191336
Americas,USA,1952,157553000,301139947
Americas,USA,1957,171984000,301139947
Americas,USA,1962,186538000,301139947
Americas,USA,1967,198712000,301139947
Americas,USA,1972,209896000,301139947
Americas,USA,1977,220239000,301139947
Americas,USA,1982,232187835,301139947
Americas,USA,1987,242803533,301139947
Americas,USA,1992,256894189,301139947
Americas,USA,1997,272911760,301139947
Americas,USA,2002,287675526,301139947
Americas,USA,2007,301139947,301139947
Americas,Other,1952,2252965,3447496
Americas,Other,1957,2424959,3447496
Americas,Other,1962,2598466,3447496
Americas,Other,1967,2748579,3447496
Americas,Other,1972,2829526,3447496
Americas,Other,1977,2873520,3447496
Americas,Other,1982,2953997,3447496
Americas,Other,1987,3045153,3447496
Americas,Other,1992,3149262,3447496
Americas,Other,1997,3262838,3447496
Americas,Other,2002,3363085,3447496
Americas,Other,2007,3447496,3447496
Americas,Other,1952,5439568,26084662
Americas,Other,1957,6702668,26084662
Americas,Other,1962,8143375,26084662
Americas,Other,1967,9709552,26084662
Americas,Other,1972,11515649,26084662
Americas,Other,1977,13503563,26084662
Americas,Other,1982,15620766,26084662
Americas,Other,1987,17910182,26084662
Americas,Other,1992,20265563,26084662
Americas,Other,1997,22374398,26084662
Americas,Other,2002,24287670,26084662
Americas,Other,2007,26084662,26084662
